code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.03800,2020-09-10 09:30:00,0.285,0.285,0.285,0.285,0.0,0.0,867000,247095.0,0.0,0.28
HK.03800,2020-09-10 09:31:00,0.285,0.285,0.285,0.285,0.0,0.0,164000,46740.0,0.0,0.285
HK.03800,2020-09-10 09:32:00,0.285,0.28,0.285,0.28,0.0,0.0,109000,30925.0,-1.7543859649122628,0.285
HK.03800,2020-09-10 09:33:00,0.285,0.285,0.285,0.285,0.0,0.0,159000,45315.0,1.7857142857142672,0.28
HK.03800,2020-09-10 09:34:00,0.285,0.285,0.285,0.285,0.0,0.0,425000,121125.0,0.0,0.285
HK.03800,2020-09-10 09:35:00,0.285,0.285,0.285,0.285,0.0,0.0,22000,6270.0,0.0,0.285
HK.03800,2020-09-10 09:36:00,0.285,0.285,0.285,0.28,0.0,0.0,177000,50295.0,0.0,0.285
HK.03800,2020-09-10 09:37:00,0.285,0.285,0.285,0.285,0.0,0.0,122000,34770.0,0.0,0.285
HK.03800,2020-09-10 09:38:00,0.285,0.285,0.285,0.285,0.0,0.0,33000,9405.0,0.0,0.285
HK.03800,2020-09-10 09:39:00,0.285,0.28,0.285,0.28,0.0,0.0,66000,18650.0,-1.7543859649122628,0.285
HK.03800,2020-09-10 09:40:00,0.285,0.285,0.285,0.285,0.0,0.0,338000,96330.0,1.7857142857142672,0.28
HK.03800,2020-09-10 09:41:00,0.285,0.285,0.285,0.285,0.0,0.0,2302000,656070.0,0.0,0.285
HK.03800,2020-09-10 09:42:00,0.285,0.285,0.285,0.285,0.0,0.0,113000,32205.0,0.0,0.285
HK.03800,2020-09-10 09:43:00,0.285,0.285,0.285,0.285,0.0,0.0,21000,5985.0,0.0,0.285
HK.03800,2020-09-10 09:44:00,0.285,0.285,0.285,0.285,0.0,0.0,23000,6555.0,0.0,0.285
HK.03800,2020-09-10 09:45:00,0.285,0.285,0.285,0.285,0.0,0.0,137000,39045.0,0.0,0.285
HK.03800,2020-09-10 09:46:00,0.285,0.285,0.285,0.285,0.0,0.0,103000,29355.0,0.0,0.285
