code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09988,2021-01-04 00:00:00,224.8,227.6,228.6,223.4,30.193,0.00129,27907724,6309314743.0,-2.1496130696474633,232.6
HK.09988,2021-01-05 00:00:00,220.0,223.0,224.2,219.2,29.583,0.00162,35061260,7765442681.0,-2.0210896309314563,227.6
HK.09988,2021-01-06 00:00:00,228.0,230.0,232.6,227.8,30.512,0.00145,31462508,7246448767.0,3.1390134529147984,223.0
HK.09988,2021-01-07 00:00:00,221.0,221.0,221.8,216.4,29.318,0.00219,47362360,10400576927.0,-3.91304347826087,230.0
HK.09988,2021-01-08 00:00:00,223.4,224.2,226.4,219.6,29.742,0.00138,29880895,6686597383.0,1.4479638009049722,221.0
HK.09988,2021-01-11 00:00:00,227.2,221.0,230.4,220.0,29.318,0.00227,49219037,11073011901.0,-1.4272970561998166,224.2
HK.09988,2021-01-12 00:00:00,221.0,220.0,221.0,217.2,29.185,0.0017,36773693,8063156455.0,-0.4524886877828055,221.0
HK.09988,2021-01-13 00:00:00,221.6,223.8,225.6,221.0,29.689,0.00118,25521304,5704300238.0,1.7272727272727324,220.0
HK.09988,2021-01-14 00:00:00,231.8,235.0,235.4,229.4,31.175,0.00259,56102214,13089969050.0,5.00446827524575,223.8
HK.09988,2021-01-15 00:00:00,238.0,241.0,244.2,236.2,31.971,0.00262,56724043,13633874912.0,2.553191489361702,235.0
HK.09988,2021-01-18 00:00:00,238.6,242.0,243.6,236.6,32.104,0.00131,28459710,6862396379.0,0.4149377593360996,241.0
HK.09988,2021-01-19 00:00:00,245.0,244.2,248.8,242.2,32.395,0.00165,35728468,8764559076.0,0.9090909090909044,242.0
HK.09988,2021-01-20 00:00:00,245.2,265.0,270.0,244.4,35.155,0.00486,105283224,27424669105.0,8.517608517608522,244.2
HK.09988,2021-01-21 00:00:00,259.6,258.6,262.6,255.2,34.306,0.0024,52014003,13453226086.0,-2.415094339622633,265.0
HK.09988,2021-01-22 00:00:00,252.4,250.6,253.4,247.2,33.244,0.00185,39959960,10005166192.0,-3.093580819798928,258.6
HK.09988,2021-01-25 00:00:00,252.6,258.0,262.8,251.0,34.226,0.00221,47792619,12345860291.0,2.952913008778933,250.6
HK.09988,2021-01-26 00:00:00,255.4,253.4,256.0,252.2,33.616,0.00154,33317774,8464356033.0,-1.7829457364341064,258.0
HK.09988,2021-01-27 00:00:00,261.8,260.0,263.2,255.2,34.491,0.0016,34684877,9026580124.0,2.6045777426992873,253.4
HK.09988,2021-01-28 00:00:00,252.8,251.6,257.6,250.4,33.377,0.0016,34740164,8786240128.0,-3.230769230769233,260.0
HK.09988,2021-01-29 00:00:00,251.6,246.8,254.0,242.0,32.74,0.00161,34866053,8617470107.0,-1.907790143084254,251.6
HK.09988,2021-02-01 00:00:00,246.0,251.2,252.0,245.0,33.324,0.00128,27611659,6872671609.0,1.7828200972447232,246.8
HK.09988,2021-02-02 00:00:00,260.0,260.0,261.4,255.8,34.491,0.00165,35793652,9290978799.0,3.503184713375801,251.2
HK.09988,2021-02-03 00:00:00,249.8,261.0,266.0,247.2,34.624,0.0027,58494910,14797214450.0,0.38461538461538464,260.0
HK.09988,2021-02-04 00:00:00,260.8,262.2,267.4,257.4,34.783,0.00334,72252607,18961247185.0,0.4597701149425244,261.0
HK.09988,2021-02-05 00:00:00,259.8,258.0,261.4,256.4,34.226,0.00142,30738742,7966043399.0,-1.6018306636155566,262.2
HK.09988,2021-02-08 00:00:00,259.6,256.4,262.4,255.4,34.014,0.00069,14861452,3834836472.0,-0.6201550387596988,258.0
HK.09988,2021-02-09 00:00:00,255.8,255.4,257.4,253.0,33.881,0.00099,21534617,5484390734.0,-0.3900156006240139,256.4
HK.09988,2021-02-10 00:00:00,258.6,262.0,263.0,257.4,34.757,0.00134,28952395,7556389277.0,2.58418167580266,255.4
HK.09988,2021-02-11 00:00:00,261.0,261.0,262.0,257.6,34.624,0.00063,13576585,3527164461.0,-0.38167938931297707,262.0
HK.09988,2021-02-16 00:00:00,264.8,264.2,266.0,263.2,35.049,0.00164,35490449,9359589456.0,1.226053639846739,261.0
