code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09988,2022-01-03 00:00:00,117.0,128.8,128.8,113.9,15.46,0.0084,182134196,21921904443.0,8.326324642556775,118.9
HK.09988,2022-01-10 00:00:00,128.8,129.3,135.0,123.9,15.52,0.00817,177224746,22915994958.0,0.3881987577639751,128.8
HK.09988,2022-01-17 00:00:00,129.3,127.1,132.5,123.5,15.256,0.00846,183346496,23358316416.0,-1.7014694508894173,129.3
HK.09988,2022-01-24 00:00:00,122.0,110.0,122.0,108.0,13.203,0.01155,250673483,28624578085.0,-13.45397324940991,127.1
HK.09988,2022-01-31 00:00:00,112.1,120.4,120.8,111.5,14.452,0.00336,72872380,8569474124.0,9.45454545454546,110.0
HK.09988,2022-02-07 00:00:00,117.4,122.4,123.0,110.6,14.692,0.0091,197492036,23126357649.0,1.661129568106312,120.4
HK.09988,2022-02-14 00:00:00,119.0,119.5,124.0,117.4,14.344,0.00511,110979450,13412544931.0,-2.3692810457516384,122.4
HK.09988,2022-02-21 00:00:00,115.8,105.3,117.1,103.6,12.639,0.00988,214134091,23410583947.0,-11.882845188284522,119.5
HK.09988,2022-02-28 00:00:00,103.3,99.0,106.6,98.2,11.861,0.00969,210060546,21461319621.0,-5.98290598290598,105.3
HK.09988,2022-03-07 00:00:00,96.25,90.8,99.95,88.05,10.879,0.01343,291216456,27563999438.0,-8.282828282828286,99.0
HK.09988,2022-03-14 00:00:00,86.15,98.35,104.0,71.0,11.972,0.0296,641723613,55338830084.0,8.31497797356828,90.8
HK.09988,2022-03-21 00:00:00,104.8,107.4,119.4,97.25,13.073,0.0178,386027834,42436090249.0,9.201830198271493,98.35
HK.09988,2022-03-28 00:00:00,107.4,109.7,115.7,105.7,13.353,0.00795,172525609,19242462033.0,2.141527001862195,107.4
HK.09988,2022-04-04 00:00:00,110.6,103.8,114.6,101.5,12.635,0.00748,162242666,17502535115.0,-5.378304466727443,109.7
HK.09988,2022-04-11 00:00:00,102.8,95.5,103.0,93.85,11.625,0.00723,156813723,15322542007.0,-7.996146435452792,103.8
